step,clock,dc,vm,host,cloudlet,status,exec_start,finish,finished_mi,remaining_mi,last_proc_time,host_util,host_power_w,dc_power_w,dc_green_w,green_row,green_rows_total,tz_rows,warmup_rows,episode_offset_rows
20,21.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16498,52559,0,0,16477
21,22.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16499,52559,0,0,16477
22,23.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16500,52559,0,0,16477
23,24.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16501,52559,0,0,16477
24,25.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16502,52559,0,0,16477
25,26.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16503,52559,0,0,16477
26,27.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16504,52559,0,0,16477
27,28.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16505,52559,0,0,16477
28,29.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16506,52559,0,0,16477
29,30.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16507,52559,0,0,16477
30,31.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16508,52559,0,0,16477
31,32.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16509,52559,0,0,16477
32,33.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,0.0000,16510,52559,0,0,16477
33,34.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,242.3633,16511,52559,0,0,16477
34,35.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,123.2067,16512,52559,0,0,16477
35,36.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,75.2200,16513,52559,0,0,16477
36,37.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,74.7967,16514,52559,0,0,16477
37,38.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,74.7867,16515,52559,0,0,16477
38,39.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,74.7367,16516,52559,0,0,16477
39,40.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,65.6400,170.1000,16517,52559,0,0,16477
40,41.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,201.4771,16518,52559,0,0,16477
40,41.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,201.4771,16518,52559,0,0,16477
41,42.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,528.4575,16519,52559,0,0,16477
41,42.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,528.4575,16519,52559,0,0,16477
42,43.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,590.5429,16520,52559,0,0,16477
42,43.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,590.5429,16520,52559,0,0,16477
43,44.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,652.6283,16521,52559,0,0,16477
43,44.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,652.6283,16521,52559,0,0,16477
44,45.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,714.7137,16522,52559,0,0,16477
44,45.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,714.7137,16522,52559,0,0,16477
45,46.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,776.7992,16523,52559,0,0,16477
45,46.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,776.7992,16523,52559,0,0,16477
46,47.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,808.1229,16524,52559,0,0,16477
46,47.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,808.1229,16524,52559,0,0,16477
47,48.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,728.2233,16525,52559,0,0,16477
47,48.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,728.2233,16525,52559,0,0,16477
48,49.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,606.1733,16526,52559,0,0,16477
48,49.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,606.1733,16526,52559,0,0,16477
49,50.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,607.0533,16527,52559,0,0,16477
49,50.000,0,1,1,1,INEXEC,40.000,-1.000,0,1920000,40.000,0.400000,65.6400,131.2800,607.0533,16527,52559,0,0,16477
50,51.000,0,0,0,0,INEXEC,20.000,-1.000,0,1920000,20.000,0.400000,65.6400,131.2800,616.3033,16528,52559,0,0,16477
