episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,2,0,32,1920000.0,48,41,112,112,70,111,offset,1.0,111.0,70.0,0.0,False
1,3,0,32,1920000.0,48,48,119,119,70,118,offset,1.0,118.0,70.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,70,132,offset,1.0,132.0,70.0,0.0,False
1,5,0,32,1920000.0,48,92,163,159,66,158,offset,1.0,158.0,66.0,0.0,False
1,6,1,32,1920000.0,48,100,171,116,15,115,offset,1.0,115.0,15.0,0.0,False
1,7,0,32,1920000.0,48,123,194,190,66,189,offset,1.0,189.0,66.0,0.0,False
1,8,1,32,1920000.0,48,134,205,180,45,179,offset,1.0,179.0,45.0,0.0,False
1,9,2,32,1920000.0,48,150,221,208,57,207,offset,1.0,207.0,57.0,0.0,False
1,10,1,32,1920000.0,48,159,230,229,69,228,offset,1.0,228.0,69.0,0.0,False
1,11,0,32,1920000.0,48,174,245,241,66,240,offset,1.0,240.0,66.0,0.0,False
1,12,0,32,1920000.0,48,201,272,268,66,267,offset,1.0,267.0,66.0,0.0,False
1,13,1,32,1920000.0,48,221,292,264,42,263,offset,1.0,263.0,42.0,0.0,False
1,14,0,32,1920000.0,48,227,298,288,60,287,offset,1.0,287.0,60.0,0.0,False
1,15,1,32,1920000.0,48,241,312,248,6,247,offset,1.0,247.0,6.0,0.0,False
1,17,1,32,1920000.0,48,273,344,292,18,291,offset,1.0,291.0,18.0,0.0,False
1,18,0,32,1920000.0,48,295,366,311,15,310,offset,1.0,310.0,15.0,0.0,False
1,19,2,32,1920000.0,48,307,378,378,70,377,offset,1.0,377.0,70.0,0.0,False
1,20,1,32,1920000.0,48,323,394,394,70,393,offset,1.0,393.0,70.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,70,405,offset,1.0,405.0,70.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,70,426,offset,1.0,426.0,70.0,0.0,False
1,23,1,32,1920000.0,48,373,444,444,70,443,offset,1.0,443.0,70.0,0.0,False
1,24,0,32,1920000.0,48,397,468,468,70,467,offset,1.0,467.0,70.0,0.0,False
1,25,1,32,1920000.0,48,402,473,473,70,472,offset,1.0,472.0,70.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,70,491,offset,1.0,491.0,70.0,0.0,False
1,27,1,32,1920000.0,48,445,516,516,70,515,offset,1.0,515.0,70.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,70,527,offset,1.0,527.0,70.0,0.0,False
1,29,2,32,1920000.0,48,473,544,486,12,485,offset,1.0,485.0,12.0,0.0,False
1,30,0,32,1920000.0,48,486,557,550,63,549,offset,1.0,549.0,63.0,0.0,False
1,31,1,32,1920000.0,48,504,575,532,27,531,offset,1.0,531.0,27.0,0.0,False
1,32,2,32,1920000.0,48,520,591,581,60,580,offset,1.0,580.0,60.0,0.0,False
1,33,1,32,1920000.0,48,527,598,598,70,597,offset,1.0,597.0,70.0,0.0,False
1,34,0,32,1920000.0,48,549,620,620,70,619,offset,1.0,619.0,70.0,0.0,False
