episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,1,2,32,1920000.0,48,29,100,38,8,37,offset,1.0,37.0,8.0,0.0,False
1,2,1,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,4,0,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,157,64,156,offset,1.0,156.0,64.0,0.0,False
1,6,0,32,1920000.0,48,100,171,165,64,164,offset,1.0,164.0,64.0,0.0,False
1,7,1,32,1920000.0,48,123,194,188,64,187,offset,1.0,187.0,64.0,0.0,False
1,8,0,32,1920000.0,48,134,205,199,64,198,offset,1.0,198.0,64.0,0.0,False
1,9,0,32,1920000.0,48,150,221,183,32,182,offset,1.0,182.0,32.0,0.0,False
1,10,0,32,1920000.0,48,159,230,192,32,191,offset,1.0,191.0,32.0,0.0,False
1,11,0,32,1920000.0,48,174,245,207,32,206,offset,1.0,206.0,32.0,0.0,False
1,12,0,32,1920000.0,48,201,272,210,8,209,offset,1.0,209.0,8.0,0.0,False
1,13,0,32,1920000.0,48,221,292,224,2,223,offset,1.0,223.0,2.0,0.0,False
1,14,0,32,1920000.0,48,227,298,236,8,235,offset,1.0,235.0,8.0,0.0,False
1,19,0,32,1920000.0,48,307,378,324,16,323,offset,1.0,323.0,16.0,0.0,False
1,34,0,32,1920000.0,48,549,620,566,16,565,offset,1.0,565.0,16.0,0.0,False
