episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,2,0,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,3,0,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False
1,4,0,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,157,64,156,offset,1.0,156.0,64.0,0.0,False
1,6,1,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,1,32,1920000.0,48,123,194,156,32,155,offset,1.0,155.0,32.0,0.0,False
1,9,0,32,1920000.0,48,150,221,167,16,166,offset,1.0,166.0,16.0,0.0,False
1,10,0,32,1920000.0,48,159,230,176,16,175,offset,1.0,175.0,16.0,0.0,False
1,11,1,32,1920000.0,48,174,245,207,32,206,offset,1.0,206.0,32.0,0.0,False
1,17,1,32,1920000.0,48,273,344,282,8,281,offset,1.0,281.0,8.0,0.0,False
1,25,0,32,1920000.0,48,402,473,405,2,404,offset,1.0,404.0,2.0,0.0,False
1,30,0,32,1920000.0,48,486,557,495,8,494,offset,1.0,494.0,8.0,0.0,False
