episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,1,32,1920000.0,48,9,80,11,1,10,offset,1.0,10.0,1.0,0.0,False
1,1,0,32,1920000.0,48,29,100,31,1,30,offset,1.0,30.0,1.0,0.0,False
1,2,0,32,1920000.0,48,41,112,43,1,42,offset,1.0,42.0,1.0,0.0,False
1,3,0,32,1920000.0,48,48,119,50,1,49,offset,1.0,49.0,1.0,0.0,False
1,4,0,32,1920000.0,48,62,133,64,1,63,offset,1.0,63.0,1.0,0.0,False
1,5,2,32,1920000.0,48,92,163,94,1,93,offset,1.0,93.0,1.0,0.0,False
1,6,2,32,1920000.0,48,100,171,102,1,101,offset,1.0,101.0,1.0,0.0,False
1,7,2,32,1920000.0,48,123,194,125,1,124,offset,1.0,124.0,1.0,0.0,False
1,8,1,32,1920000.0,48,134,205,136,1,135,offset,1.0,135.0,1.0,0.0,False
1,9,1,32,1920000.0,48,150,221,152,1,151,offset,1.0,151.0,1.0,0.0,False
1,10,0,32,1920000.0,48,159,230,161,1,160,offset,1.0,160.0,1.0,0.0,False
1,11,0,32,1920000.0,48,174,245,176,1,175,offset,1.0,175.0,1.0,0.0,False
1,12,0,32,1920000.0,48,201,272,203,1,202,offset,1.0,202.0,1.0,0.0,False
1,13,1,32,1920000.0,48,221,292,223,1,222,offset,1.0,222.0,1.0,0.0,False
1,14,0,32,1920000.0,48,227,298,229,1,228,offset,1.0,228.0,1.0,0.0,False
1,15,0,32,1920000.0,48,241,312,243,1,242,offset,1.0,242.0,1.0,0.0,False
1,16,2,32,1920000.0,48,256,327,258,1,257,offset,1.0,257.0,1.0,0.0,False
1,17,2,32,1920000.0,48,273,344,275,1,274,offset,1.0,274.0,1.0,0.0,False
1,18,1,32,1920000.0,48,295,366,297,1,296,offset,1.0,296.0,1.0,0.0,False
1,19,0,32,1920000.0,48,307,378,309,1,308,offset,1.0,308.0,1.0,0.0,False
1,20,0,32,1920000.0,48,323,394,325,1,324,offset,1.0,324.0,1.0,0.0,False
1,21,0,32,1920000.0,48,335,406,337,1,336,offset,1.0,336.0,1.0,0.0,False
1,22,0,32,1920000.0,48,356,427,358,1,357,offset,1.0,357.0,1.0,0.0,False
1,23,1,32,1920000.0,48,373,444,375,1,374,offset,1.0,374.0,1.0,0.0,False
1,24,1,32,1920000.0,48,397,468,399,1,398,offset,1.0,398.0,1.0,0.0,False
1,25,2,32,1920000.0,48,402,473,404,1,403,offset,1.0,403.0,1.0,0.0,False
1,26,1,32,1920000.0,48,421,492,423,1,422,offset,1.0,422.0,1.0,0.0,False
1,27,0,32,1920000.0,48,445,516,447,1,446,offset,1.0,446.0,1.0,0.0,False
1,28,0,32,1920000.0,48,457,528,459,1,458,offset,1.0,458.0,1.0,0.0,False
1,29,0,32,1920000.0,48,473,544,475,1,474,offset,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,488,1,487,offset,1.0,487.0,1.0,0.0,False
1,31,0,32,1920000.0,48,504,575,506,1,505,offset,1.0,505.0,1.0,0.0,False
1,32,1,32,1920000.0,48,520,591,522,1,521,offset,1.0,521.0,1.0,0.0,False
1,33,0,32,1920000.0,48,527,598,529,1,528,offset,1.0,528.0,1.0,0.0,False
1,34,0,32,1920000.0,48,549,620,551,1,550,offset,1.0,550.0,1.0,0.0,False
