episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,18,8,17,offset,1.0,17.0,8.0,0.0,False
1,3,2,32,1920000.0,48,48,119,81,32,80,offset,1.0,80.0,32.0,0.0,False
1,4,1,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,157,64,156,offset,1.0,156.0,64.0,0.0,False
1,6,0,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,1,32,1920000.0,48,123,194,140,16,139,offset,1.0,139.0,16.0,0.0,False
1,8,1,32,1920000.0,48,134,205,151,16,150,offset,1.0,150.0,16.0,0.0,False
1,10,0,32,1920000.0,48,159,230,168,8,167,offset,1.0,167.0,8.0,0.0,False
1,12,2,32,1920000.0,48,201,272,234,32,233,offset,1.0,233.0,32.0,0.0,False
1,13,1,32,1920000.0,48,221,292,286,64,285,offset,1.0,285.0,64.0,0.0,False
1,14,1,32,1920000.0,48,227,298,292,64,291,offset,1.0,291.0,64.0,0.0,False
1,15,0,32,1920000.0,48,241,312,306,64,305,offset,1.0,305.0,64.0,0.0,False
1,16,0,32,1920000.0,48,256,327,289,32,288,offset,1.0,288.0,32.0,0.0,False
1,17,1,32,1920000.0,48,273,344,290,16,289,offset,1.0,289.0,16.0,0.0,False
1,18,0,32,1920000.0,48,295,366,312,16,311,offset,1.0,311.0,16.0,0.0,False
1,19,0,32,1920000.0,48,307,378,316,8,315,offset,1.0,315.0,8.0,0.0,False
1,20,2,32,1920000.0,48,323,394,388,64,387,offset,1.0,387.0,64.0,0.0,False
1,21,1,32,1920000.0,48,335,406,400,64,399,offset,1.0,399.0,64.0,0.0,False
1,22,2,32,1920000.0,48,356,427,421,64,420,offset,1.0,420.0,64.0,0.0,False
1,23,0,32,1920000.0,48,373,444,438,64,437,offset,1.0,437.0,64.0,0.0,False
1,24,0,32,1920000.0,48,397,468,430,32,429,offset,1.0,429.0,32.0,0.0,False
1,25,0,32,1920000.0,48,402,473,467,64,466,offset,1.0,466.0,64.0,0.0,False
1,26,0,32,1920000.0,48,421,492,454,32,453,offset,1.0,453.0,32.0,0.0,False
1,27,0,32,1920000.0,48,445,516,478,32,477,offset,1.0,477.0,32.0,0.0,False
1,28,0,32,1920000.0,48,457,528,490,32,489,offset,1.0,489.0,32.0,0.0,False
1,29,0,32,1920000.0,48,473,544,506,32,505,offset,1.0,505.0,32.0,0.0,False
1,30,0,32,1920000.0,48,486,557,519,32,518,offset,1.0,518.0,32.0,0.0,False
1,31,0,32,1920000.0,48,504,575,537,32,536,offset,1.0,536.0,32.0,0.0,False
1,32,0,32,1920000.0,48,520,591,537,16,536,offset,1.0,536.0,16.0,0.0,False
1,33,0,32,1920000.0,48,527,598,544,16,543,offset,1.0,543.0,16.0,0.0,False
