episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,1,1,32,1920000.0,48,29,100,46,16,45,offset,1.0,45.0,16.0,0.0,False
1,3,0,32,1920000.0,48,48,119,81,32,80,offset,1.0,80.0,32.0,0.0,False
1,4,1,32,1920000.0,48,62,133,95,32,94,offset,1.0,94.0,32.0,0.0,False
1,6,2,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,8,0,32,1920000.0,48,134,205,139,4,138,offset,1.0,138.0,4.0,0.0,False
1,9,0,32,1920000.0,48,150,221,183,32,182,offset,1.0,182.0,32.0,0.0,False
1,10,0,32,1920000.0,48,159,230,168,8,167,offset,1.0,167.0,8.0,0.0,False
1,14,1,32,1920000.0,48,227,298,260,32,259,offset,1.0,259.0,32.0,0.0,False
1,18,0,32,1920000.0,48,295,366,304,8,303,offset,1.0,303.0,8.0,0.0,False
1,19,0,32,1920000.0,48,307,378,316,8,315,offset,1.0,315.0,8.0,0.0,False
1,22,1,32,1920000.0,48,356,427,373,16,372,offset,1.0,372.0,16.0,0.0,False
1,24,1,32,1920000.0,48,397,468,430,32,429,offset,1.0,429.0,32.0,0.0,False
1,25,1,32,1920000.0,48,402,473,467,64,466,offset,1.0,466.0,64.0,0.0,False
1,28,0,32,1920000.0,48,457,528,466,8,465,offset,1.0,465.0,8.0,0.0,False
1,33,0,32,1920000.0,48,527,598,544,16,543,offset,1.0,543.0,16.0,0.0,False
