episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,42,32,41,offset,1.0,41.0,32.0,0.0,False
1,1,1,32,1920000.0,48,29,100,46,16,45,offset,1.0,45.0,16.0,0.0,False
1,2,0,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,3,1,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False
1,4,1,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,125,32,124,offset,1.0,124.0,32.0,0.0,False
1,6,1,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,0,32,1920000.0,48,123,194,156,32,155,offset,1.0,155.0,32.0,0.0,False
1,8,2,32,1920000.0,48,134,205,199,64,198,offset,1.0,198.0,64.0,0.0,False
1,9,0,32,1920000.0,48,150,221,215,64,214,offset,1.0,214.0,64.0,0.0,False
1,10,1,32,1920000.0,48,159,230,224,64,223,offset,1.0,223.0,64.0,0.0,False
1,11,1,32,1920000.0,48,174,245,177,2,176,offset,1.0,176.0,2.0,0.0,False
1,12,0,32,1920000.0,48,201,272,234,32,233,offset,1.0,233.0,32.0,0.0,False
1,13,0,32,1920000.0,48,221,292,286,64,285,offset,1.0,285.0,64.0,0.0,False
1,14,1,32,1920000.0,48,227,298,260,32,259,offset,1.0,259.0,32.0,0.0,False
1,15,1,32,1920000.0,48,241,312,306,64,305,offset,1.0,305.0,64.0,0.0,False
1,16,0,32,1920000.0,48,256,327,289,32,288,offset,1.0,288.0,32.0,0.0,False
1,17,0,32,1920000.0,48,273,344,338,64,337,offset,1.0,337.0,64.0,0.0,False
1,18,1,32,1920000.0,48,295,366,360,64,359,offset,1.0,359.0,64.0,0.0,False
1,19,0,32,1920000.0,48,307,378,340,32,339,offset,1.0,339.0,32.0,0.0,False
1,20,1,32,1920000.0,48,323,394,388,64,387,offset,1.0,387.0,64.0,0.0,False
1,21,0,32,1920000.0,48,335,406,400,64,399,offset,1.0,399.0,64.0,0.0,False
1,22,0,32,1920000.0,48,356,427,421,64,420,offset,1.0,420.0,64.0,0.0,False
1,24,0,32,1920000.0,48,397,468,462,64,461,offset,1.0,461.0,64.0,0.0,False
1,25,1,32,1920000.0,48,402,473,467,64,466,offset,1.0,466.0,64.0,0.0,False
1,26,1,32,1920000.0,48,421,492,486,64,485,offset,1.0,485.0,64.0,0.0,False
1,27,0,32,1920000.0,48,445,516,510,64,509,offset,1.0,509.0,64.0,0.0,False
1,28,1,32,1920000.0,48,457,528,522,64,521,offset,1.0,521.0,64.0,0.0,False
1,29,1,32,1920000.0,48,473,544,506,32,505,offset,1.0,505.0,32.0,0.0,False
1,30,0,32,1920000.0,48,486,557,551,64,550,offset,1.0,550.0,64.0,0.0,False
1,31,1,32,1920000.0,48,504,575,569,64,568,offset,1.0,568.0,64.0,0.0,False
1,32,1,32,1920000.0,48,520,591,585,64,584,offset,1.0,584.0,64.0,0.0,False
1,33,1,32,1920000.0,48,527,598,592,64,591,offset,1.0,591.0,64.0,0.0,False
1,34,0,32,1920000.0,48,549,620,582,32,581,offset,1.0,581.0,32.0,0.0,False
