episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,1,0,32,1920000.0,48,29,100,94,64,93,offset,1.0,93.0,64.0,0.0,False
1,2,0,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,3,0,32,1920000.0,48,48,119,81,32,80,offset,1.0,80.0,32.0,0.0,False
1,4,0,32,1920000.0,48,62,133,95,32,94,offset,1.0,94.0,32.0,0.0,False
1,5,0,32,1920000.0,48,92,163,125,32,124,offset,1.0,124.0,32.0,0.0,False
1,6,0,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,1,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False
1,8,0,32,1920000.0,48,134,205,143,8,142,offset,1.0,142.0,8.0,0.0,False
1,11,0,32,1920000.0,48,174,245,239,64,238,offset,1.0,238.0,64.0,0.0,False
1,12,0,32,1920000.0,48,201,272,234,32,233,offset,1.0,233.0,32.0,0.0,False
1,13,0,32,1920000.0,48,221,292,238,16,237,offset,1.0,237.0,16.0,0.0,False
1,14,0,32,1920000.0,48,227,298,236,8,235,offset,1.0,235.0,8.0,0.0,False
1,15,0,32,1920000.0,48,241,312,244,2,243,offset,1.0,243.0,2.0,0.0,False
1,22,0,32,1920000.0,48,356,427,389,32,388,offset,1.0,388.0,32.0,0.0,False
1,23,1,32,1920000.0,48,373,444,406,32,405,offset,1.0,405.0,32.0,0.0,False
1,24,0,32,1920000.0,48,397,468,430,32,429,offset,1.0,429.0,32.0,0.0,False
1,25,0,32,1920000.0,48,402,473,435,32,434,offset,1.0,434.0,32.0,0.0,False
1,26,0,32,1920000.0,48,421,492,454,32,453,offset,1.0,453.0,32.0,0.0,False
1,27,1,32,1920000.0,48,445,516,478,32,477,offset,1.0,477.0,32.0,0.0,False
1,28,1,32,1920000.0,48,457,528,490,32,489,offset,1.0,489.0,32.0,0.0,False
1,29,1,32,1920000.0,48,473,544,490,16,489,offset,1.0,489.0,16.0,0.0,False
1,30,2,32,1920000.0,48,486,557,519,32,518,offset,1.0,518.0,32.0,0.0,False
1,31,2,32,1920000.0,48,504,575,521,16,520,offset,1.0,520.0,16.0,0.0,False
1,32,2,32,1920000.0,48,520,591,529,8,528,offset,1.0,528.0,8.0,0.0,False
1,33,0,32,1920000.0,48,527,598,592,64,591,offset,1.0,591.0,64.0,0.0,False
1,34,0,32,1920000.0,48,549,620,614,64,613,offset,1.0,613.0,64.0,0.0,False
