episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,1,1,32,1920000.0,48,29,100,62,32,61,offset,1.0,61.0,32.0,0.0,False
1,2,0,32,1920000.0,48,41,112,46,4,45,offset,1.0,45.0,4.0,0.0,False
1,15,0,32,1920000.0,48,241,312,250,8,249,offset,1.0,249.0,8.0,0.0,False
1,16,0,32,1920000.0,48,256,327,265,8,264,offset,1.0,264.0,8.0,0.0,False
1,17,0,32,1920000.0,48,273,344,276,2,275,offset,1.0,275.0,2.0,0.0,False
1,25,0,32,1920000.0,48,402,473,405,2,404,offset,1.0,404.0,2.0,0.0,False
1,30,0,32,1920000.0,48,486,557,495,8,494,offset,1.0,494.0,8.0,0.0,False
1,31,0,32,1920000.0,48,504,575,507,2,506,offset,1.0,506.0,2.0,0.0,False
1,32,0,32,1920000.0,48,520,591,523,2,522,offset,1.0,522.0,2.0,0.0,False
1,33,0,32,1920000.0,48,527,598,544,16,543,offset,1.0,543.0,16.0,0.0,False
1,34,0,32,1920000.0,48,549,620,554,4,553,offset,1.0,553.0,4.0,0.0,False
