episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,12,2,11,offset,1.0,11.0,2.0,0.0,False
1,1,1,32,1920000.0,48,29,100,32,2,31,offset,1.0,31.0,2.0,0.0,False
1,2,1,32,1920000.0,48,41,112,44,2,43,offset,1.0,43.0,2.0,0.0,False
1,3,1,32,1920000.0,48,48,119,51,2,50,offset,1.0,50.0,2.0,0.0,False
1,4,0,32,1920000.0,48,62,133,65,2,64,offset,1.0,64.0,2.0,0.0,False
1,5,2,32,1920000.0,48,92,163,95,2,94,offset,1.0,94.0,2.0,0.0,False
1,6,2,32,1920000.0,48,100,171,103,2,102,offset,1.0,102.0,2.0,0.0,False
1,7,1,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False
1,8,0,32,1920000.0,48,134,205,137,2,136,offset,1.0,136.0,2.0,0.0,False
1,9,0,32,1920000.0,48,150,221,153,2,152,offset,1.0,152.0,2.0,0.0,False
1,10,1,32,1920000.0,48,159,230,162,2,161,offset,1.0,161.0,2.0,0.0,False
1,11,1,32,1920000.0,48,174,245,177,2,176,offset,1.0,176.0,2.0,0.0,False
1,12,0,32,1920000.0,48,201,272,204,2,203,offset,1.0,203.0,2.0,0.0,False
1,13,0,32,1920000.0,48,221,292,224,2,223,offset,1.0,223.0,2.0,0.0,False
1,14,0,32,1920000.0,48,227,298,230,2,229,offset,1.0,229.0,2.0,0.0,False
1,15,2,32,1920000.0,48,241,312,244,2,243,offset,1.0,243.0,2.0,0.0,False
1,16,2,32,1920000.0,48,256,327,259,2,258,offset,1.0,258.0,2.0,0.0,False
1,17,1,32,1920000.0,48,273,344,276,2,275,offset,1.0,275.0,2.0,0.0,False
1,18,0,32,1920000.0,48,295,366,298,2,297,offset,1.0,297.0,2.0,0.0,False
1,19,0,32,1920000.0,48,307,378,310,2,309,offset,1.0,309.0,2.0,0.0,False
1,20,0,32,1920000.0,48,323,394,326,2,325,offset,1.0,325.0,2.0,0.0,False
1,21,0,32,1920000.0,48,335,406,338,2,337,offset,1.0,337.0,2.0,0.0,False
1,22,0,32,1920000.0,48,356,427,359,2,358,offset,1.0,358.0,2.0,0.0,False
1,23,0,32,1920000.0,48,373,444,376,2,375,offset,1.0,375.0,2.0,0.0,False
1,24,0,32,1920000.0,48,397,468,400,2,399,offset,1.0,399.0,2.0,0.0,False
1,25,0,32,1920000.0,48,402,473,405,2,404,offset,1.0,404.0,2.0,0.0,False
1,26,0,32,1920000.0,48,421,492,424,2,423,offset,1.0,423.0,2.0,0.0,False
1,27,0,32,1920000.0,48,445,516,448,2,447,offset,1.0,447.0,2.0,0.0,False
1,28,0,32,1920000.0,48,457,528,460,2,459,offset,1.0,459.0,2.0,0.0,False
1,29,0,32,1920000.0,48,473,544,476,2,475,offset,1.0,475.0,2.0,0.0,False
1,30,0,32,1920000.0,48,486,557,489,2,488,offset,1.0,488.0,2.0,0.0,False
1,31,0,32,1920000.0,48,504,575,507,2,506,offset,1.0,506.0,2.0,0.0,False
1,32,0,32,1920000.0,48,520,591,523,2,522,offset,1.0,522.0,2.0,0.0,False
1,33,1,32,1920000.0,48,527,598,530,2,529,offset,1.0,529.0,2.0,0.0,False
1,34,0,32,1920000.0,48,549,620,552,2,551,offset,1.0,551.0,2.0,0.0,False
