episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,1,32,1920000.0,48,9,80,18,8,17,offset,1.0,17.0,8.0,0.0,False
1,1,0,32,1920000.0,48,29,100,38,8,37,offset,1.0,37.0,8.0,0.0,False
1,3,1,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False
1,4,2,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,125,32,124,offset,1.0,124.0,32.0,0.0,False
1,6,1,32,1920000.0,48,100,171,165,64,164,offset,1.0,164.0,64.0,0.0,False
1,7,0,32,1920000.0,48,123,194,188,64,187,offset,1.0,187.0,64.0,0.0,False
1,8,0,32,1920000.0,48,134,205,167,32,166,offset,1.0,166.0,32.0,0.0,False
1,9,1,32,1920000.0,48,150,221,183,32,182,offset,1.0,182.0,32.0,0.0,False
1,10,0,32,1920000.0,48,159,230,192,32,191,offset,1.0,191.0,32.0,0.0,False
1,11,2,32,1920000.0,48,174,245,239,64,238,offset,1.0,238.0,64.0,0.0,False
1,12,1,32,1920000.0,48,201,272,266,64,265,offset,1.0,265.0,64.0,0.0,False
1,13,1,32,1920000.0,48,221,292,254,32,253,offset,1.0,253.0,32.0,0.0,False
1,14,0,32,1920000.0,48,227,298,292,64,291,offset,1.0,291.0,64.0,0.0,False
1,15,0,32,1920000.0,48,241,312,274,32,273,offset,1.0,273.0,32.0,0.0,False
1,16,0,32,1920000.0,48,256,327,321,64,320,offset,1.0,320.0,64.0,0.0,False
1,17,0,32,1920000.0,48,273,344,338,64,337,offset,1.0,337.0,64.0,0.0,False
1,18,0,32,1920000.0,48,295,366,328,32,327,offset,1.0,327.0,32.0,0.0,False
1,19,0,32,1920000.0,48,307,378,340,32,339,offset,1.0,339.0,32.0,0.0,False
1,20,0,32,1920000.0,48,323,394,388,64,387,offset,1.0,387.0,64.0,0.0,False
1,21,0,32,1920000.0,48,335,406,368,32,367,offset,1.0,367.0,32.0,0.0,False
1,22,0,32,1920000.0,48,356,427,389,32,388,offset,1.0,388.0,32.0,0.0,False
1,23,0,32,1920000.0,48,373,444,406,32,405,offset,1.0,405.0,32.0,0.0,False
1,24,0,32,1920000.0,48,397,468,406,8,405,offset,1.0,405.0,8.0,0.0,False
1,25,0,32,1920000.0,48,402,473,411,8,410,offset,1.0,410.0,8.0,0.0,False
1,29,0,32,1920000.0,48,473,544,506,32,505,offset,1.0,505.0,32.0,0.0,False
1,30,0,32,1920000.0,48,486,557,519,32,518,offset,1.0,518.0,32.0,0.0,False
1,31,0,32,1920000.0,48,504,575,521,16,520,offset,1.0,520.0,16.0,0.0,False
1,32,0,32,1920000.0,48,520,591,537,16,536,offset,1.0,536.0,16.0,0.0,False
1,33,0,32,1920000.0,48,527,598,560,32,559,offset,1.0,559.0,32.0,0.0,False
