episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,2,0,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,3,0,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False
1,4,0,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,157,64,156,offset,1.0,156.0,64.0,0.0,False
1,6,0,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,0,32,1920000.0,48,123,194,156,32,155,offset,1.0,155.0,32.0,0.0,False
1,8,1,32,1920000.0,48,134,205,151,16,150,offset,1.0,150.0,16.0,0.0,False
1,9,1,32,1920000.0,48,150,221,159,8,158,offset,1.0,158.0,8.0,0.0,False
1,10,0,32,1920000.0,48,159,230,192,32,191,offset,1.0,191.0,32.0,0.0,False
1,11,1,32,1920000.0,48,174,245,207,32,206,offset,1.0,206.0,32.0,0.0,False
1,13,0,32,1920000.0,48,221,292,254,32,253,offset,1.0,253.0,32.0,0.0,False
1,14,1,32,1920000.0,48,227,298,244,16,243,offset,1.0,243.0,16.0,0.0,False
1,17,0,32,1920000.0,48,273,344,306,32,305,offset,1.0,305.0,32.0,0.0,False
1,18,0,32,1920000.0,48,295,366,328,32,327,offset,1.0,327.0,32.0,0.0,False
1,20,0,32,1920000.0,48,323,394,388,64,387,offset,1.0,387.0,64.0,0.0,False
1,21,0,32,1920000.0,48,335,406,400,64,399,offset,1.0,399.0,64.0,0.0,False
1,24,2,32,1920000.0,48,397,468,462,64,461,offset,1.0,461.0,64.0,0.0,False
1,25,2,32,1920000.0,48,402,473,419,16,418,offset,1.0,418.0,16.0,0.0,False
1,27,0,32,1920000.0,48,445,516,454,8,453,offset,1.0,453.0,8.0,0.0,False
1,29,0,32,1920000.0,48,473,544,490,16,489,offset,1.0,489.0,16.0,0.0,False
1,31,0,32,1920000.0,48,504,575,537,32,536,offset,1.0,536.0,32.0,0.0,False
1,32,0,32,1920000.0,48,520,591,585,64,584,offset,1.0,584.0,64.0,0.0,False
1,34,0,32,1920000.0,48,549,620,582,32,581,offset,1.0,581.0,32.0,0.0,False
