episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,26,16,25,offset,1.0,25.0,16.0,0.0,False
1,1,1,32,1920000.0,48,29,100,62,32,61,offset,1.0,61.0,32.0,0.0,False
1,2,0,32,1920000.0,48,41,112,74,32,73,offset,1.0,73.0,32.0,0.0,False
1,3,1,32,1920000.0,48,48,119,113,64,112,offset,1.0,112.0,64.0,0.0,False
1,4,0,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,5,0,32,1920000.0,48,92,163,157,64,156,offset,1.0,156.0,64.0,0.0,False
1,6,1,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,1,32,1920000.0,48,123,194,188,64,187,offset,1.0,187.0,64.0,0.0,False
1,8,1,32,1920000.0,48,134,205,199,64,198,offset,1.0,198.0,64.0,0.0,False
1,9,0,32,1920000.0,48,150,221,183,32,182,offset,1.0,182.0,32.0,0.0,False
1,10,2,32,1920000.0,48,159,230,224,64,223,offset,1.0,223.0,64.0,0.0,False
1,11,1,32,1920000.0,48,174,245,239,64,238,offset,1.0,238.0,64.0,0.0,False
1,12,0,32,1920000.0,48,201,272,266,64,265,offset,1.0,265.0,64.0,0.0,False
1,13,1,32,1920000.0,48,221,292,286,64,285,offset,1.0,285.0,64.0,0.0,False
1,14,0,32,1920000.0,48,227,298,292,64,291,offset,1.0,291.0,64.0,0.0,False
1,15,1,32,1920000.0,48,241,312,306,64,305,offset,1.0,305.0,64.0,0.0,False
1,16,0,32,1920000.0,48,256,327,321,64,320,offset,1.0,320.0,64.0,0.0,False
1,17,0,32,1920000.0,48,273,344,338,64,337,offset,1.0,337.0,64.0,0.0,False
1,18,1,32,1920000.0,48,295,366,328,32,327,offset,1.0,327.0,32.0,0.0,False
1,19,0,32,1920000.0,48,307,378,372,64,371,offset,1.0,371.0,64.0,0.0,False
1,20,0,32,1920000.0,48,323,394,356,32,355,offset,1.0,355.0,32.0,0.0,False
1,21,1,32,1920000.0,48,335,406,400,64,399,offset,1.0,399.0,64.0,0.0,False
1,22,0,32,1920000.0,48,356,427,421,64,420,offset,1.0,420.0,64.0,0.0,False
1,23,1,32,1920000.0,48,373,444,438,64,437,offset,1.0,437.0,64.0,0.0,False
1,24,0,32,1920000.0,48,397,468,462,64,461,offset,1.0,461.0,64.0,0.0,False
1,25,1,32,1920000.0,48,402,473,435,32,434,offset,1.0,434.0,32.0,0.0,False
1,26,0,32,1920000.0,48,421,492,486,64,485,offset,1.0,485.0,64.0,0.0,False
1,27,1,32,1920000.0,48,445,516,510,64,509,offset,1.0,509.0,64.0,0.0,False
1,28,2,32,1920000.0,48,457,528,522,64,521,offset,1.0,521.0,64.0,0.0,False
1,29,1,32,1920000.0,48,473,544,538,64,537,offset,1.0,537.0,64.0,0.0,False
1,30,1,32,1920000.0,48,486,557,551,64,550,offset,1.0,550.0,64.0,0.0,False
1,31,1,32,1920000.0,48,504,575,569,64,568,offset,1.0,568.0,64.0,0.0,False
1,32,0,32,1920000.0,48,520,591,553,32,552,offset,1.0,552.0,32.0,0.0,False
1,33,1,32,1920000.0,48,527,598,560,32,559,offset,1.0,559.0,32.0,0.0,False
1,34,0,32,1920000.0,48,549,620,614,64,613,offset,1.0,613.0,64.0,0.0,False
