episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,74,64,73,offset,1.0,73.0,64.0,0.0,False
1,1,0,32,1920000.0,48,29,100,94,64,93,offset,1.0,93.0,64.0,0.0,False
1,2,2,32,1920000.0,48,41,112,106,64,105,offset,1.0,105.0,64.0,0.0,False
1,3,2,32,1920000.0,48,48,119,53,4,52,offset,1.0,52.0,4.0,0.0,False
1,4,2,32,1920000.0,48,62,133,127,64,126,offset,1.0,126.0,64.0,0.0,False
1,6,0,32,1920000.0,48,100,171,133,32,132,offset,1.0,132.0,32.0,0.0,False
1,7,0,32,1920000.0,48,123,194,128,4,127,offset,1.0,127.0,4.0,0.0,False
1,10,0,32,1920000.0,48,159,230,176,16,175,offset,1.0,175.0,16.0,0.0,False
1,17,0,32,1920000.0,48,273,344,290,16,289,offset,1.0,289.0,16.0,0.0,False
1,20,0,32,1920000.0,48,323,394,356,32,355,offset,1.0,355.0,32.0,0.0,False
1,21,0,32,1920000.0,48,335,406,400,64,399,offset,1.0,399.0,64.0,0.0,False
