episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,80,12,green,1.0,12.0,3.0,0.0,False
1,3,2,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,131,green,1.0,131.0,69.0,0.0,False
1,5,0,32,1920000.0,48,92,163,163,151,green,1.0,151.0,59.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,152,green,1.0,152.0,52.0,0.0,False
1,7,1,32,1920000.0,48,123,194,194,135,green,1.0,135.0,12.0,0.0,False
1,8,1,32,1920000.0,48,134,205,205,139,green,1.0,139.0,5.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,12,2,32,1920000.0,48,201,272,272,202,green,1.0,202.0,1.0,0.0,False
1,13,1,32,1920000.0,48,221,292,292,252,green,1.0,252.0,31.0,0.0,False
1,14,1,32,1920000.0,48,227,298,298,286,green,1.0,286.0,59.0,0.0,False
1,15,0,32,1920000.0,48,241,312,312,247,green,1.0,247.0,6.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,302,green,1.0,302.0,46.0,0.0,False
1,17,1,32,1920000.0,48,273,344,344,288,green,1.0,288.0,15.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,305,green,1.0,305.0,10.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,2,32,1920000.0,48,323,394,394,336,green,1.0,336.0,13.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,336,green,1.0,336.0,1.0,0.0,False
1,22,2,32,1920000.0,48,356,427,427,384,green,1.0,384.0,28.0,0.0,False
1,23,0,32,1920000.0,48,373,444,444,388,green,1.0,388.0,15.0,0.0,False
1,24,0,32,1920000.0,48,397,468,468,417,green,1.0,417.0,20.0,0.0,False
1,25,0,32,1920000.0,48,402,473,473,418,green,1.0,418.0,16.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,440,green,1.0,440.0,19.0,0.0,False
1,27,0,32,1920000.0,48,445,516,516,455,green,1.0,455.0,10.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,465,green,1.0,465.0,8.0,0.0,False
1,29,0,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,488,green,1.0,488.0,2.0,0.0,False
1,31,0,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,0,32,1920000.0,48,520,591,591,523,green,1.0,523.0,3.0,0.0,False
1,33,0,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
