episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,80,12,green,1.0,12.0,3.0,0.0,False
1,1,2,32,1920000.0,48,29,100,100,42,green,1.0,42.0,13.0,0.0,False
1,2,1,32,1920000.0,48,41,112,112,42,green,1.0,42.0,1.0,0.0,False
1,3,1,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,131,green,1.0,131.0,69.0,0.0,False
1,5,1,32,1920000.0,48,92,163,163,135,green,1.0,135.0,43.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,151,green,1.0,151.0,51.0,0.0,False
1,7,1,32,1920000.0,48,123,194,194,139,green,1.0,139.0,16.0,0.0,False
1,8,0,32,1920000.0,48,134,205,205,152,green,1.0,152.0,18.0,0.0,False
1,9,1,32,1920000.0,48,150,221,221,151,green,1.0,151.0,1.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,11,1,32,1920000.0,48,174,245,245,181,green,1.0,181.0,7.0,0.0,False
1,12,0,32,1920000.0,48,201,272,272,202,green,1.0,202.0,1.0,0.0,False
1,13,1,32,1920000.0,48,221,292,292,252,green,1.0,252.0,31.0,0.0,False
1,14,2,32,1920000.0,48,227,298,298,250,green,1.0,250.0,23.0,0.0,False
1,15,0,32,1920000.0,48,241,312,312,270,green,1.0,270.0,29.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,305,green,1.0,305.0,49.0,0.0,False
1,17,1,32,1920000.0,48,273,344,344,286,green,1.0,286.0,13.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,307,green,1.0,307.0,12.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,0,32,1920000.0,48,323,394,394,324,green,1.0,324.0,1.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,336,green,1.0,336.0,1.0,0.0,False
1,22,2,32,1920000.0,48,356,427,427,383,green,1.0,383.0,27.0,0.0,False
1,23,1,32,1920000.0,48,373,444,444,393,green,1.0,393.0,20.0,0.0,False
1,24,0,32,1920000.0,48,397,468,468,398,green,1.0,398.0,1.0,0.0,False
1,25,1,32,1920000.0,48,402,473,473,416,green,1.0,416.0,14.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,436,green,1.0,436.0,15.0,0.0,False
1,27,0,32,1920000.0,48,445,516,516,446,green,1.0,446.0,1.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,458,green,1.0,458.0,1.0,0.0,False
1,29,1,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,2,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
1,31,1,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,0,32,1920000.0,48,520,591,591,521,green,1.0,521.0,1.0,0.0,False
1,33,1,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,0,32,1920000.0,48,549,620,620,550,green,1.0,550.0,1.0,0.0,False
