episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,1,32,1920000.0,48,9,80,80,10,green,1.0,10.0,1.0,0.0,False
1,1,1,32,1920000.0,48,29,100,100,30,green,1.0,30.0,1.0,0.0,False
1,2,1,32,1920000.0,48,41,112,112,42,green,1.0,42.0,1.0,0.0,False
1,3,0,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,63,green,1.0,63.0,1.0,0.0,False
1,5,0,32,1920000.0,48,92,163,163,93,green,1.0,93.0,1.0,0.0,False
1,6,1,32,1920000.0,48,100,171,171,101,green,1.0,101.0,1.0,0.0,False
1,7,0,32,1920000.0,48,123,194,194,124,green,1.0,124.0,1.0,0.0,False
1,8,0,32,1920000.0,48,134,205,205,135,green,1.0,135.0,1.0,0.0,False
1,9,1,32,1920000.0,48,150,221,221,151,green,1.0,151.0,1.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,11,1,32,1920000.0,48,174,245,245,175,green,1.0,175.0,1.0,0.0,False
1,12,0,32,1920000.0,48,201,272,272,203,green,1.0,203.0,2.0,0.0,False
1,13,1,32,1920000.0,48,221,292,292,227,green,1.0,227.0,6.0,0.0,False
1,14,2,32,1920000.0,48,227,298,298,228,green,1.0,228.0,1.0,0.0,False
1,15,1,32,1920000.0,48,241,312,312,242,green,1.0,242.0,1.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,257,green,1.0,257.0,1.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,274,green,1.0,274.0,1.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,323,green,1.0,323.0,28.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,377,margin,1.0,377.0,70.0,0.0,False
1,20,0,32,1920000.0,48,323,394,394,393,margin,1.0,393.0,70.0,0.0,False
1,21,0,32,1920000.0,48,335,406,406,405,margin,1.0,405.0,70.0,0.0,False
1,22,1,32,1920000.0,48,356,427,427,362,green,1.0,362.0,6.0,0.0,False
1,23,2,32,1920000.0,48,373,444,444,374,green,1.0,374.0,1.0,0.0,False
1,24,2,32,1920000.0,48,397,468,468,467,margin,1.0,467.0,70.0,0.0,False
1,25,2,32,1920000.0,48,402,473,473,472,margin,1.0,472.0,70.0,0.0,False
1,26,1,32,1920000.0,48,421,492,492,422,green,1.0,422.0,1.0,0.0,False
1,27,0,32,1920000.0,48,445,516,516,461,green,1.0,461.0,16.0,0.0,False
1,28,1,32,1920000.0,48,457,528,528,465,green,1.0,465.0,8.0,0.0,False
1,29,0,32,1920000.0,48,473,544,544,484,green,1.0,484.0,11.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,511,green,1.0,511.0,25.0,0.0,False
1,31,1,32,1920000.0,48,504,575,575,516,green,1.0,516.0,12.0,0.0,False
1,32,0,32,1920000.0,48,520,591,591,541,green,1.0,541.0,21.0,0.0,False
1,33,1,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,0,32,1920000.0,48,549,620,620,551,green,1.0,551.0,2.0,0.0,False
