episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,1,0,32,1920000.0,48,29,100,100,41,green,1.0,41.0,12.0,0.0,False
1,2,0,32,1920000.0,48,41,112,112,70,green,1.0,70.0,29.0,0.0,False
1,3,1,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,103,green,1.0,103.0,41.0,0.0,False
1,5,2,32,1920000.0,48,92,163,163,96,green,1.0,96.0,4.0,0.0,False
1,6,1,32,1920000.0,48,100,171,171,106,green,1.0,106.0,6.0,0.0,False
1,8,2,32,1920000.0,48,134,205,205,144,green,1.0,144.0,10.0,0.0,False
1,9,0,32,1920000.0,48,150,221,221,151,green,1.0,151.0,1.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,161,green,1.0,161.0,2.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,175,green,1.0,175.0,1.0,0.0,False
1,12,1,32,1920000.0,48,201,272,272,210,green,1.0,210.0,9.0,0.0,False
1,13,0,32,1920000.0,48,221,292,292,228,green,1.0,228.0,7.0,0.0,False
1,14,2,32,1920000.0,48,227,298,298,228,green,1.0,228.0,1.0,0.0,False
1,15,1,32,1920000.0,48,241,312,312,242,green,1.0,242.0,1.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,257,green,1.0,257.0,1.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,274,green,1.0,274.0,1.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,307,green,1.0,307.0,12.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,1,32,1920000.0,48,323,394,394,344,green,1.0,344.0,21.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,397,green,1.0,397.0,62.0,0.0,False
1,22,1,32,1920000.0,48,356,427,427,399,green,1.0,399.0,43.0,0.0,False
1,23,0,32,1920000.0,48,373,444,444,375,green,1.0,375.0,2.0,0.0,False
1,24,1,32,1920000.0,48,397,468,468,465,green,1.0,465.0,68.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,422,green,1.0,422.0,1.0,0.0,False
1,27,1,32,1920000.0,48,445,516,516,468,green,1.0,468.0,23.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,483,green,1.0,483.0,26.0,0.0,False
1,29,1,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
1,31,1,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,2,32,1920000.0,48,520,591,591,521,green,1.0,521.0,1.0,0.0,False
1,33,2,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,1,32,1920000.0,48,549,620,620,550,green,1.0,550.0,1.0,0.0,False
