episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,8,0,32,1920000.0,48,134,205,205,148,green,1.0,148.0,14.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,192,green,1.0,192.0,33.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,196,green,1.0,196.0,22.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,282,green,1.0,282.0,55.0,0.0,False
1,15,0,32,1920000.0,48,241,312,312,287,green,1.0,287.0,46.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,289,green,1.0,289.0,33.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,290,green,1.0,290.0,17.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,330,green,1.0,330.0,35.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,331,green,1.0,331.0,24.0,0.0,False
1,20,0,32,1920000.0,48,323,394,394,332,green,1.0,332.0,9.0,0.0,False
1,21,0,32,1920000.0,48,335,406,406,336,green,1.0,336.0,1.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,357,green,1.0,357.0,1.0,0.0,False
1,23,0,32,1920000.0,48,373,444,444,380,green,1.0,380.0,7.0,0.0,False
1,25,0,32,1920000.0,48,402,473,473,403,green,1.0,403.0,1.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,422,green,1.0,422.0,1.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,458,green,1.0,458.0,1.0,0.0,False
1,29,0,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
1,31,0,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,0,32,1920000.0,48,520,591,591,522,green,1.0,522.0,2.0,0.0,False
1,33,0,32,1920000.0,48,527,598,598,529,green,1.0,529.0,2.0,0.0,False
1,34,0,32,1920000.0,48,549,620,620,550,green,1.0,550.0,1.0,0.0,False
