episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,1,32,1920000.0,48,9,80,80,10,green,1.0,10.0,1.0,0.0,False
1,1,1,32,1920000.0,48,29,100,100,30,green,1.0,30.0,1.0,0.0,False
1,2,2,32,1920000.0,48,41,112,112,59,green,1.0,59.0,18.0,0.0,False
1,3,0,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,64,green,1.0,64.0,2.0,0.0,False
1,5,0,32,1920000.0,48,92,163,163,104,green,1.0,104.0,12.0,0.0,False
1,6,1,32,1920000.0,48,100,171,171,101,green,1.0,101.0,1.0,0.0,False
1,7,0,32,1920000.0,48,123,194,194,128,green,1.0,128.0,5.0,0.0,False
1,8,0,32,1920000.0,48,134,205,205,135,green,1.0,135.0,1.0,0.0,False
1,9,1,32,1920000.0,48,150,221,221,151,green,1.0,151.0,1.0,0.0,False
1,10,2,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,175,green,1.0,175.0,1.0,0.0,False
1,12,0,32,1920000.0,48,201,272,272,202,green,1.0,202.0,1.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,228,green,1.0,228.0,1.0,0.0,False
1,19,2,32,1920000.0,48,307,378,378,377,margin,1.0,377.0,70.0,0.0,False
1,20,2,32,1920000.0,48,323,394,394,393,margin,1.0,393.0,70.0,0.0,False
1,21,2,32,1920000.0,48,335,406,406,405,margin,1.0,405.0,70.0,0.0,False
1,22,2,32,1920000.0,48,356,427,427,425,green,1.0,425.0,69.0,0.0,False
1,23,1,32,1920000.0,48,373,444,444,423,green,1.0,423.0,50.0,0.0,False
1,24,0,32,1920000.0,48,397,468,468,442,green,1.0,442.0,45.0,0.0,False
1,25,0,32,1920000.0,48,402,473,473,444,green,1.0,444.0,42.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,445,green,1.0,445.0,24.0,0.0,False
1,27,0,32,1920000.0,48,445,516,516,449,green,1.0,449.0,4.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,458,green,1.0,458.0,1.0,0.0,False
1,29,0,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
