episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,80,79,margin,1.0,79.0,70.0,0.0,False
1,1,0,32,1920000.0,48,29,100,100,99,margin,1.0,99.0,70.0,0.0,False
1,2,2,32,1920000.0,48,41,112,112,72,green,1.0,72.0,31.0,0.0,False
1,3,2,32,1920000.0,48,48,119,119,82,green,1.0,82.0,34.0,0.0,False
1,4,2,32,1920000.0,48,62,133,133,93,green,1.0,93.0,31.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,105,green,1.0,105.0,5.0,0.0,False
1,7,0,32,1920000.0,48,123,194,194,127,green,1.0,127.0,4.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,289,green,1.0,289.0,16.0,0.0,False
1,20,0,32,1920000.0,48,323,394,394,343,green,1.0,343.0,20.0,0.0,False
1,21,0,32,1920000.0,48,335,406,406,350,green,1.0,350.0,15.0,0.0,False
