episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,1,32,1920000.0,48,9,80,80,21,green,1.0,21.0,12.0,0.0,False
1,1,1,32,1920000.0,48,29,100,100,52,green,1.0,52.0,23.0,0.0,False
1,3,1,32,1920000.0,48,48,119,119,103,green,1.0,103.0,55.0,0.0,False
1,4,0,32,1920000.0,48,62,133,133,70,green,1.0,70.0,8.0,0.0,False
1,6,1,32,1920000.0,48,100,171,171,106,green,1.0,106.0,6.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,307,green,1.0,307.0,12.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,2,32,1920000.0,48,323,394,394,363,green,1.0,363.0,40.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,344,green,1.0,344.0,9.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,362,green,1.0,362.0,6.0,0.0,False
1,23,2,32,1920000.0,48,373,444,444,433,green,1.0,433.0,60.0,0.0,False
1,25,1,32,1920000.0,48,402,473,473,405,green,1.0,405.0,3.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,483,green,1.0,483.0,26.0,0.0,False
