episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,80,79,margin,1.0,79.0,70.0,0.0,False
1,1,1,32,1920000.0,48,29,100,100,72,green,1.0,72.0,43.0,0.0,False
1,2,0,32,1920000.0,48,41,112,112,101,green,1.0,101.0,60.0,0.0,False
1,3,2,32,1920000.0,48,48,119,119,72,green,1.0,72.0,24.0,0.0,False
1,4,1,32,1920000.0,48,62,133,133,80,green,1.0,80.0,18.0,0.0,False
1,5,0,32,1920000.0,48,92,163,163,105,green,1.0,105.0,13.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,106,green,1.0,106.0,6.0,0.0,False
1,7,1,32,1920000.0,48,123,194,194,124,green,1.0,124.0,1.0,0.0,False
1,9,0,32,1920000.0,48,150,221,221,151,green,1.0,151.0,1.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,228,green,1.0,228.0,1.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,276,green,1.0,276.0,3.0,0.0,False
1,18,1,32,1920000.0,48,295,366,366,296,green,1.0,296.0,1.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,21,1,32,1920000.0,48,335,406,406,339,green,1.0,339.0,4.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,357,green,1.0,357.0,1.0,0.0,False
1,25,0,32,1920000.0,48,402,473,473,403,green,1.0,403.0,1.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,458,green,1.0,458.0,1.0,0.0,False
