episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,0,0,32,1920000.0,48,9,80,80,10,green,1.0,10.0,1.0,0.0,False
1,1,1,32,1920000.0,48,29,100,100,30,green,1.0,30.0,1.0,0.0,False
1,2,2,32,1920000.0,48,41,112,112,80,green,1.0,80.0,39.0,0.0,False
1,3,1,32,1920000.0,48,48,119,119,49,green,1.0,49.0,1.0,0.0,False
1,4,0,32,1920000.0,48,62,133,133,63,green,1.0,63.0,1.0,0.0,False
1,5,1,32,1920000.0,48,92,163,163,112,green,1.0,112.0,20.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,132,green,1.0,132.0,32.0,0.0,False
1,7,1,32,1920000.0,48,123,194,194,124,green,1.0,124.0,1.0,0.0,False
1,8,0,32,1920000.0,48,134,205,205,135,green,1.0,135.0,1.0,0.0,False
1,9,1,32,1920000.0,48,150,221,221,166,green,1.0,166.0,16.0,0.0,False
1,10,2,32,1920000.0,48,159,230,230,165,green,1.0,165.0,6.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,183,green,1.0,183.0,9.0,0.0,False
1,12,1,32,1920000.0,48,201,272,272,212,green,1.0,212.0,11.0,0.0,False
1,13,0,32,1920000.0,48,221,292,292,222,green,1.0,222.0,1.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,228,green,1.0,228.0,1.0,0.0,False
1,15,1,32,1920000.0,48,241,312,312,268,green,1.0,268.0,27.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,282,green,1.0,282.0,26.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,287,green,1.0,287.0,14.0,0.0,False
1,18,1,32,1920000.0,48,295,366,366,296,green,1.0,296.0,1.0,0.0,False
1,19,2,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,1,32,1920000.0,48,323,394,394,324,green,1.0,324.0,1.0,0.0,False
1,21,0,32,1920000.0,48,335,406,406,336,green,1.0,336.0,1.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,357,green,1.0,357.0,1.0,0.0,False
1,23,1,32,1920000.0,48,373,444,444,374,green,1.0,374.0,1.0,0.0,False
1,24,1,32,1920000.0,48,397,468,468,398,green,1.0,398.0,1.0,0.0,False
1,25,1,32,1920000.0,48,402,473,473,403,green,1.0,403.0,1.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,422,green,1.0,422.0,1.0,0.0,False
1,27,0,32,1920000.0,48,445,516,516,446,green,1.0,446.0,1.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,458,green,1.0,458.0,1.0,0.0,False
1,29,0,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,1,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
1,31,0,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,2,32,1920000.0,48,520,591,591,525,green,1.0,525.0,5.0,0.0,False
1,33,1,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,1,32,1920000.0,48,549,620,620,550,green,1.0,550.0,1.0,0.0,False
